date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:02	45960/45960	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:16:59%20GMT	http://pharmacology.med.unideb.hu/index.php/altalanos-orvos	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/altalanos-orvos.html	(from )
01:17:02	399/399	---M-Z	200	added ('OK')	text/plain	etag:%22552921-361-4d4d466d17180%22	http://pharmacology.med.unideb.hu/robots.txt		(from )
01:17:02	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22560ac8-47e-4ca2024ae2780%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/favicon.ico	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/favicon.ico	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:03	791/791	---M-Z	200	added ('OK')	application/opensearchdescription+xml	date:Wed,%2015%20Dec%202021%2000:17:01%20GMT	http://pharmacology.med.unideb.hu/index.php/component/search/?Itemid=531&format=opensearch	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/component/search/index4e04.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:03	4784/4784	---M-Z	200	added ('OK')	application/javascript	etag:%2256076c-12b0-509d6ee3a4200%22	http://pharmacology.med.unideb.hu/media/system/js/core.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/media/system/js/core.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:03	729/729	---M-Z	200	added ('OK')	application/javascript	etag:%22560768-2d9-4c3d45081a780%22	http://pharmacology.med.unideb.hu/media/system/js/caption.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/media/system/js/caption.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:04	195/195	---MC-	200	added ('OK')	text/css	date:Wed,%2015%20Dec%202021%2000:17:03%20GMT	http://fonts.googleapis.com/css?family=Cuprum	C:/My%20Web%20Sites/pharm/fonts.googleapis.com/css0c38.css	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:04	20931/20931	---M-Z	200	added ('OK')	text/css	etag:%22560ad2-51c3-4c590fcdac1c0%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/css/styles.css	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/css/styles.css	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:04	2473/2473	---M-Z	200	added ('OK')	text/css	etag:%22560ad1-9a9-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/css/style2.css	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/css/style2.css	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:04	1731/1731	---M-Z	200	added ('OK')	text/css	etag:%22560acf-6c3-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/css/NivooSlider.css	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/css/NivooSlider.css	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:05	226/226	---M-Z	200	added ('OK')	application/javascript	etag:%22560b30-e2-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/slideshow/init.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/slideshow/init.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:05	16460/16460	---M-Z	200	added ('OK')	application/javascript	etag:%22560b2e-404c-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/slideshow/NivooSlider.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/slideshow/NivooSlider.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:05	120/120	---M-Z	200	added ('OK')	application/javascript	etag:%22560b1f-78-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/modules/jcopyright.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/modules/jcopyright.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:05	96362/96362	---M-Z	200	added ('OK')	application/javascript	etag:%22560775-1786a-509d6ee3a4200%22	http://pharmacology.med.unideb.hu/media/system/js/mootools-core.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/media/system/js/mootools-core.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:05	503/503	---M-Z	200	added ('OK')	application/javascript	etag:%22560b21-1f7-4c4ef84dac400%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/modules/jscroll.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/modules/jscroll.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:06	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2015%20Dec%202021%2000:17:05%20GMT	http://s7.addthis.com/js/250/addthis_widget.js	C:/My%20Web%20Sites/pharm/s7.addthis.com/js/250/addthis_widget.e.delayed	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:07	11076/11076	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:04%20GMT	http://pharmacology.med.unideb.hu/index.php/oktatas	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/oktatas.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:07	6750/6750	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:05%20GMT	http://pharmacology.med.unideb.hu/index.php/kutatas	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/kutatas.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:07	43417/43417	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:05%20GMT	http://pharmacology.med.unideb.hu/index.php/kapcsolat	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/kapcsolat.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:08	8123/8123	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:05%20GMT	http://pharmacology.med.unideb.hu/index.php/apolas-es-betegellatas-alapszak-gyogytornasz-szakirany	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/apolas-es-betegellatas-alapszak-gyogytornasz-szakirany.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:08	8009/8009	---M--	200	added ('OK')	image/png	etag:%22560b01-1f49-4c5bda172f8c0%22	http://pharmacology.med.unideb.hu/templates/constructionco-qjt/images/logo.png	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/templates/constructionco-qjt/images/logo.png	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:08	7850/7850	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:06%20GMT	http://pharmacology.med.unideb.hu/index.php/biologus-bsc	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/biologus-bsc.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:08	10264/10264	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:06%20GMT	http://pharmacology.med.unideb.hu/index.php/farmakoterapia	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/farmakoterapia.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:08	7826/7826	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:06%20GMT	http://pharmacology.med.unideb.hu/index.php/fogorvos	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/fogorvos.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:09	8098/8098	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:06%20GMT	http://pharmacology.med.unideb.hu/index.php/hagyomanyos-keleti-orvoslas-alapjai	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/hagyomanyos-keleti-orvoslas-alapjai.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:09	7901/7901	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:07%20GMT	http://pharmacology.med.unideb.hu/index.php/molekularis-biologus	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/molekularis-biologus.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:09	7925/7925	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:07%20GMT	http://pharmacology.med.unideb.hu/index.php/molekularis-biologus-msc	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/molekularis-biologus-msc.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:09	7928/7928	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:07%20GMT	http://pharmacology.med.unideb.hu/index.php/nepegeszsegugyi-ellenor	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/nepegeszsegugyi-ellenor.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:10	8135/8135	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:07%20GMT	http://pharmacology.med.unideb.hu/index.php/orvosi-laboratoriumi-es-kepalkoto-diagnosztikai-analitikus	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/orvosi-laboratoriumi-es-kepalkoto-diagnosztikai-analitikus.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:10	10610/10610	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2000:17:08%20GMT	http://pharmacology.med.unideb.hu/index.php/taplalkozastudomanyi-msc	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/index.php/taplalkozastudomanyi-msc.html	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:10	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Dec%202021%2000:17:09%20GMT	https://www.ogyei.gov.hu/dynamic/GCP_1.pdf	C:/My%20Web%20Sites/pharm/www.ogyei.gov.hu/dynamic/GCP_1.1e.delayed	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
01:17:12	238331/238331	---MCZ	200	added ('OK')	application/javascript	etag:%22560777-3a2fb-509d6ee3a4200%22	http://pharmacology.med.unideb.hu/media/system/js/mootools-more.js	C:/My%20Web%20Sites/pharm/pharmacology.med.unideb.hu/media/system/js/mootools-more.js	(from http://pharmacology.med.unideb.hu/index.php/altalanos-orvos)
